Stage,Book One,Book Two
Beige,The Name of the Wind by Patrick Rothfuss,Determined by Robert Sapolsky
Purple,I am the Word by Paul Selig,Man's Search for Meaning by Victor Frankl
Red,All About Love by bell hooks,Confidence by Ethan Nichtern
Blue,A Paradise Built in Hell by Rebecca Solnit,Lovingkindness by Sharon Salzberg
Orange,Atomic Habits by James Clear,The Art of the Impossible by Steven Kotler
Green,Luminous Darkness by Deborah Eden Tull,Doppleganger by Naomi Klein
Yellow,The Mind Illuminated by Culadasa (John Yates),"Eastern Body, Western Mind by Anodea Judith"
Teal,Wise Man's Fear by Patrick Rothfuss,"Zen Mind, Beginner's Mind
Shunryu Suzuki"
Ultraviolet,The Religion of Tomorrow by Ken Wilber,Don't Bite the Hook by Pema Chodron
Clear Light,Autobiography of a Yogi by Yogananda,Yoga and the Quest for the True Self by Steven Cope