Week,Category,Aspect,Mode,Spiral Dynamics Color,Growing Up Stage,Gender Polarity,Relationship to Free Will,Free Will Description,Book,Fiction Book, This Period's Practice,Practice Description,On-Going Habit,Pranayama,I,IT,ITS,WE
1,Yes-And-Ness,Agency,INHABIT,Beige,Survival,Divine Masculine,Biological Machine,"Individuals are unaware of the concept of free will. Their actions are purely reactive and instinctual, driven by basic survival needs. This is the bottom of Maslow's Pyramid, the Root Chakra, the first stage Piaget's cognitive development or step one of Erikson's psychosocial development etc.",Behave by Robert Sapolsky,The Name of the Wind by Patrick Rothfuss,5-4-3-2-1 technique,Grounding technique to manage anxiety and cravings by focusing on sensory inputs.,Take work seriously,At least 1x per Week,"Journal: What kind of hero did I need to feel secure when I was a kid, and what would it take to become that person in the next 9 months?","Make a journal for the APTITUDE project (or utilize the spreadsheet template and discord bot on offer), and develop the habit of recording your progress, tracking your Practices and Habits.","Journal: Make a list of systemic, social, and cultural influences that contribute to your sense of security","Share, listen and react to the previous three exercises with your Digital Sangha"
4,Yes-And-Ness,Receptivity,INHABIT,Purple,Magic,Divine Feminine,Archetype Embodier,"Individual personalities (collections of habits—which are frequently repeated behaviors) are the combined effort of archetypal role models, including everything from fictional characters to societal celebrities (and perhaps ancient gods in polytheistic cultures)",I am the Word by Paul Selig,The Alchemist by Paulo Coelho,Divination,Engaging in energy work to quiet the mind and promote a sense of connection.,"Water, vitamins, probiotics",At least 1x per Week,"Experience: Identify the ""somatic address"" of gratitude when you complete the IT exercise.","Journal: Every day for this period, make a list of ten things you're grateful for, or 3 big things",Journal: engage in a 15 minute free write exploring your relationship with abundance vs scarcity (whatever that may be),"Discuss abundance, scarcity and the law of reciprocity that the universe may or may not seem to adhere to from your perspective."
7,Love,Self-Love,EXPRESS,Red,Ego-centrism,Divine Masculine,Dominator,"Behavior is driven by a subconscious urge to alleviate the pain of emotions (that may or may not even be consciously noticed) that tell us that we are not enough. Without self-love toward these aversion based feelings, the tendency is to forge dominator ""power over others.""",All About Love by bell hooks,Fight Club by Chuck Palahniuk,Confidence,Practicing feeling attuned to the power at the solar plexus and returning to it when doubt arises.,"Alcohol/
Intoxicants",At least 3x per Week,"Journal: In a 15 minute free write, reflect on a time that the desire to dominate a person, situation, or yourself arose from shame that indicated a lack of self-love.","Journal: make a list of 15 outside influences that tell you you're not enough. Once you're done, tear it up and throw it over your shoulder.","Journal: in a 15 minute free write, pick a social system you feel an attachment to that exercises power over others (healthcare, education, military, police, the family, your digital sangha, etc) and explore how it succeeds and fails at embodying self-love, and what it might look like with more.","Discuss your ideas for bringing more self-love into the systems you wrote about, and/or to yourselves."
10,Love,Universal Love,EXPRESS,Blue,Conformity,Divine Feminine,Victim,"Behavior is determined by the attempt to meet the expectations of the relationships that the individual is embedded within; we are defined by roles: partners, parents, children, coworkers, friends, pupils, etc ",Lovingkindness by Sharon Salzberg,Brave New World by Aldous Huxley,Metta meditation,Fostering a state of loving-kindness and compassion to promote emotional stability.,Scrolling,At least 3x per Week,"Journal: Make a new column in your IT exercise. Write ""I choose to do x because…"" for each item","Journal: Make the longest list you can of things you are forced to do for whatever reason. Begin each entry ""I have to…""",Journal: make a list of 10 systems that demand your conformity. This can help inspire your answers to the IT exercise.,"Discuss how even within the demands of an unjust, corrupt, degrading society, we are still ultimately free to choose to participate."
13,Understanding,Intellectual Understanding,COLLABORATE,Orange,Achievest,Divine Masculine,Status Seeker,"Behavior is based on chasing things valued by the culture: money, wealth, status, privilege, fame… in short, achievement. Although the question may arise, Free Will is still uninteresting and left largely unconsidered",The Art of the Impossible by Steven Kotler,The Circle by Dave Eggers,Wim Hof Method,Inducing physiological changes to promote focus and emotional resilience.,Exercise,At least 4x per Week,"Journal: Combine multiple Curiosities in service of tackling one Problem, and identify the Aspirational Identities that would belong to the person who travels that path.",Journal: Make a list of 25 curiosities ,Journal: Make a list of 15 problems that keep you up at night,Share: Formulate your answer to the I exercise as a four quadrant vow and publicly sign your name to it in front of your supportive Digital Sangha
16,Understanding,Embodied Understanding,COLLABORATE,Green,Pluralistic,Divine Feminine,Shadow Glorifier,"Behavior is driven by a desire to be virtuous, to apply rules fairly, to reduce the influence of hierarchy, and to respect everyone's perspectives. Free Will is still absent as behavior follows predictably from a set of pluralistic heuristics.", Luminous Darkness by Deborah Eden Tull AND/OR Nonviolent Communication by Marshall Rosenberg,Wizard of Earthsea by Ursula K LeGuin,Shadow work ritual,Integrating past experiences and emotions to enhance self-understanding and flow states.,"Active Recovery (eg Yoga, Saunas, Ice Baths)",At least 4x per Week,Journal: Write about a memory associated with each Shadow element from the IT exercise. Fully experience the event. Alchemically reframe each element as Light.,"Journal: Make a list of behaviors, characteristics and identities that comprise your Shadow",Journal: Return to your list of Problems from the previous level and identify the shadow characteristics that project them from the holonic level you occupy into the broader systems that cause them. This can help inspire your answers to the IT and I exercises.,Share and discuss a few of the relationships between Shadow characteristics and Problems you've identified
19,Wisdom,Systems Wisdom,INTEGRATE,Yellow,Integrative,Divine Masculine,Despairing Analyst,The ability to reflect on all the influences of stages prior to Yellow develops and the individual becomes convinced that Free Will is essentially an illusion.,The Mind Illuminated by Culadasa (John Yates),Foundation by Isaac Asimov,Meditation,Integrating various practices to enhance systemic thinking and adaptability.,Meditation,At least 5x per Week,"During meditation and group meet-ups, pay attention to what arises in your body without judgement, clinging, or aversion.",Log: Begin logging meditation experiences with a focus on the Seven Factors of Enlightenment,Find (or start) an in-person meet up for meditation and/or dharma and attend at least once a week.,Discuss how it feels to be a part of an in-person meet-up with your Digtal Sangha. Are you experiencing any challenges or successes?
22,Wisdom,Transcendent Wisdom,INTEGRATE,Teal,Nonduality,Divine Feminine,Adept,"Spiritual development that leads to an experience of the nondual nature of the Kosmos that allows the Adept to burn off karma, develop nonreactivity, break unhealthy and ineffective patterns, escape samsara and unbridle from determinism effectively.",Combining by Nora Bateson,Wise Man's Fear by Patrick Rothfuss,Steven Kotler's "MacGyver Method",Encouraging spontaneous insight and innovation through creative problem-solving.,Caffeine,At least 5x per Week,,At least once a week: Recall a behavior from the last 24 hours and rate your mindfulness as you engaged in it. Consider how you might have behaved differently with more mindfulness,,
25,Being,Unity,ABSORB,Ultraviolet,Effortless Being,Divine Hermaphrodite,Blissy Adept,"The obsession with ""Free"" Will of the previous two stages grows less all consuming and the goal becomes to subsume individual Will into alignment with the Will of Source. Blissful Union of Atman and Brahman.",Finding Radical Wholeness by Ken Wilber,Siddhartha by Hermann Hesse,Cultivate Samatha Jhanas,Developing deep concentration and mental stability through meditative absorption.,Food Choices,Daily,,,,
31,Awareness,Emptiness,BE,Clear Light,Pure Awareness,Divine Hermaphrodite,Whole Adept ,"There is no longer an individual who can have Free Will. This body becomes a perfect instrument of the evolution of consciousness, an empty Nobody who simply does the perfect thing in every situation—the thing that will result in the most spiritual growth for all involved.",Becoming Nobody by Ram Dass,Autobiography of a Yogi by Yogananda,Cultivate Vipassana,Enhancing insight into the nature of reality to promote non-dual awareness.,High Flow Activity,Daily,,,,